name,_delete,nameZh,nameJa,aliases,avatar,birth,bloodType,height,weight,threeSize,cup,retired,retiredAt,debut,agency,x,instagram,tiktok,works
ICHIKA,,ICHIKA,ICHIKA,,,1988-02-14,O,164,,88 - 60 - 89,D,TRUE,2009,2006,MOODYZ,,,,
RION,,安齋拉拉,安齋らら,宇都宮しをん、RION,https://raw.githubusercontent.com/lesspem/JAV_info/main/assets/avatars/%E5%AE%89%E9%BD%8B%E6%8B%89%E6%8B%89.jpg,1994-03-01,,161,59kg,115 - 63 - 92,K,FALSE,,,S1,,,,
Tia,,Tia,Tia,,,,,,,,,FALSE,,,,,,,
Yua,,,Yua,,,,,,,,,FALSE,,,,,,,
あいかわ優衣,,,あいかわ優衣,優衣リィ、大野香澄,https://www.minnano-av.com/p_actress_125_125/001/391932.jpg?new,1989-03-08,B,158,,86 - 60 - 87,,TRUE,2015,2010-05-21,,,,,
あいださくら,,愛田櫻,あいださくら,,,1991-04-18,B,162,,83 - 58 - 85,C,FALSE,,2009-08-06,SOD,sakuraaida0418,,,
あおいれな,,葵玲奈,あおいれな,葵玲奈、れな,,1996-03-19,,158,,80 - 57 - 85,A,TRUE,2021-07-18,2015-07-25,,aoi_rena_,aoi_rena_,,
あきばもも,,佐藤乃乃果,あきばもも,,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_(September%2C_2023)IMG_1963.jpg?width=200,1996-03-12,A,153,,92 - 62 - 96,H,FALSE,,2017-03-02,溜池ゴロー,AkibaMomo0312,akibamomo0312,,
あやの沙希,,,あやの沙希,,,1989-08-07,O,161,,84 - 58 - 82,D-65,FALSE,,2011,マックス・エー,,,,
あゆみ莉花,,,あゆみ莉花,,,1999-03-22,B,156,,83 - 62 - 89,D,TRUE,2019,2018,,ayumi__rika,ayumi__rika,,
いしはらさき,,,いしはらさき,いしはら、さき,,1991-10-01,O,149,,82 - 59 - 83,B,FALSE,,2011,,nyapianan,,,
うさみ恭香,,,うさみ恭香,,https://www.minnano-av.com/p_actress_125_125/000/385431.jpg?new,1981-10-05,O,155,,83 - 58 - 85,,TRUE,2002,2000,,,,,
かなた美緒,,,かなた美緒,舞雪,,1988-03-20,B,158,,88 - 57 - 87,F-65,TRUE,,,,,,,
さくら奈々,,,さくら奈々,,,1987-11-23,A,148,,84 - 58 - 83,D,TRUE,2009,2007,,,,,
つぼみ,,,つぼみ,,,,,,,,,FALSE,,,,,,,
みなみあすか,,,みなみあすか,,,,,,,,,FALSE,,,,,,,
一ノ瀬あきら,,,一ノ瀬あきら,,,1985-04-02,,160,,90 - 60 - 92,F,TRUE,2010,2007,,,,,
一色れな,,,一色れな,,,1984-12-27,O,156,,85 - 56 - 85,C,TRUE,2005,2003,,,,,
七沢みあ,,七澤米亞,七沢みあ,,https://commons.wikimedia.org/wiki/Special:FilePath/Midsummer_Swimsuit_Festival_(July_2%2C_2025)IMG_2563.jpg?width=200,1998-12-13,,145,,79 - 54 - 80,C,FALSE,,2017,MOODYZ,mia_nanasawa,nanasawamia.official,miananasawa.official,
三上悠亜,,三上悠亞,三上悠亜,鬼頭桃菜,https://commons.wikimedia.org/wiki/Special:FilePath/Mikami_Yua_to_K-POP_CIMG6553_(cropped).jpg?width=200,1993-08-16,A,159,40kg,88 - 57 - 83,G,TRUE,2023-08-15,2015-06-01,S1,yua_mikami,yua_mikami,yua_mikami,
上原亜衣,,上原亞衣,上原亜衣,,https://commons.wikimedia.org/wiki/Special:FilePath/Kindai_Mahjong_Swimsuit_Festival_20220910_IMG_2127.jpg?width=200,1992-11-12,O,155,44kg,83 - 57 - 79,D,TRUE,2016,2011,,ai_uehara_ex,ai_uehara_ex,ai_uehara_ex61,
上村ひな,,,上村ひな,,,1981-12-10,AB,157,,84 - 57 - 85,D-65,TRUE,2002,2001,,,,,
上白美央,,,上白美央,,,1999-07-16,O,156,,91 - 59 - 91,H,TRUE,2024,2022,マドンナ,,,,
乃木りか,,,乃木りか,,,,,,,,,FALSE,,,,,,,
